time_min,temp_C,humidity_%,co2_ppm
0.0,20.110052202046376,47.009500048019646,421.1053787596043
0.5,19.860662283670322,48.18255121435676,422.5813698046262
1.0,20.130870707125435,46.92704842400523,425.18459118367895
1.5,19.418926329108878,46.93006139790806,425.78456939332693
2.0,20.50032468584457,47.205411729109244,425.67602350924176
2.5,19.813314831482618,47.43182966306058,422.58056286340235
3.0,20.519573555973377,47.322226019301446,421.74070390869787
3.5,20.20888320695325,47.02263686351534,422.3397075158432
4.0,19.814516068618797,47.73518950418528,422.72073423719854
4.5,20.74088002645873,47.80378205931996,425.55145573840804
5.0,20.228019546936768,47.625806891240856,421.24194176131573
5.5,19.947997743192662,47.87114543365282,422.5410712939168
6.0,20.526831333829954,47.22484457275862,424.8010163660625
6.5,19.62213737486868,47.33979330685516,422.91462572698345
7.0,20.261211501153547,47.53369822605611,423.108382865278
7.5,19.514035222647905,47.145164518778444,423.55463675240225
8.0,20.18856268186989,47.59336363926236,425.3265707518934
8.5,19.728524750326503,47.444307997896416,423.56055348038615
9.0,20.308697764638207,47.51398919308178,425.43574133381645
9.5,20.194020915060538,47.24676915380596,424.70365632417327
10.0,20.34779188771717,47.47683235034804,427.4113546141593
10.5,20.310906809114563,48.08652280858169,422.68599477824915
11.0,21.054032997360636,47.84764145408657,422.61405566080623
11.5,20.07199579711531,47.22280921738172,423.54339790241596
12.0,20.230502816880378,47.68201987060168,425.6480747624785
12.5,20.36870668175859,47.900833436849595,424.99723614410993
13.0,20.30024226601137,48.52615807445705,425.74756969712917
13.5,19.944166181115467,47.36610308128005,422.3724925207005
14.0,19.936051254149866,48.09782706258216,425.52904651021464
14.5,20.22380478044383,48.20845860901691,422.14859878921635
15.0,20.28560932203785,47.01010791774966,424.1735375335583
15.5,19.84395807948012,47.516548777715386,423.78777427045407
16.0,19.70204252590627,47.650551308973405,425.6569154269939
16.5,20.468442039964017,47.999330818909996,426.1208074801783
17.0,20.306115721863133,48.36900029527275,423.9845515634057
17.5,19.81048829172543,48.085470851570406,425.4654979738727
18.0,19.736634555925733,47.44468896692792,422.71353806784316
18.5,19.896971458326117,48.25367740320014,424.20937158484867
19.0,20.31737638650626,47.37541353251829,428.2048611114443
19.5,19.971000178214698,47.25596463983969,422.7667626475428
20.0,19.815916579832862,47.89195117491796,426.3099471872901
20.5,20.13421411367744,47.46995698922839,427.3881430273558
21.0,20.163401499832375,47.45210163152984,422.7871364353422
21.5,19.96071141017806,47.613132854015554,422.7968319747013
22.0,20.13748937018503,47.6195790250146,426.2422340896239
22.5,19.997805195261957,47.843043662694654,424.05481536382814
23.0,20.45522089209801,47.16752646608962,425.3858444619073
23.5,20.25602640604042,47.949842943473804,423.99183065020446
24.0,20.499585624183887,47.825196887527994,426.03173456563155
24.5,20.257440405480175,47.81615956932213,422.24590250414366
25.0,20.152866958528858,48.23556460001482,422.1164256143379
25.5,19.969921964032512,48.22074113002196,423.63928991885956
26.0,19.31024653534002,47.67193068417814,423.34645095678883
26.5,19.508580443916614,47.73243280992789,425.6944188254491
27.0,20.095159436872514,47.29762977287756,427.5760055381104
27.5,20.105140019144,48.0179020926904,425.13852685806967
28.0,19.941970399670282,48.28628720226494,422.71151429720015
28.5,20.353998349740042,47.01865714194765,425.2729317844677
29.0,20.02559104371732,47.96299512442105,425.42678421438427
29.5,19.944614246863257,47.860010491731046,424.6826933984377
