sample_id,label
0,0
1,1
2,0
3,0
4,1
5,0
6,1
7,0
8,0
9,0
10,1
11,0
12,1
13,0
14,0
15,0
16,1
17,1
18,0
19,0
20,0
21,1
22,1
23,1
24,0
25,0
26,0
27,1
28,1
29,0
30,1
31,1
32,1
33,1
34,0
35,1
36,1
37,0
38,1
39,1
40,1
41,0
42,1
43,1
44,0
45,1
46,1
47,1
48,0
49,0
50,0
51,0
52,1
53,1
54,0
55,1
56,0
57,0
58,0
59,1
60,1
61,0
62,0
63,1
64,0
65,0
66,0
67,1
68,1
69,1
70,0
71,1
72,0
73,1
74,0
75,1
76,1
77,0
78,0
79,0
80,1
81,0
82,0
83,1
84,1
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,1
93,1
94,0
95,0
96,0
97,0
98,0
99,0
100,1
101,1
102,0
103,1
104,0
105,0
106,1
107,0
108,0
109,0
110,0
111,1
112,1
113,1
114,1
115,0
116,0
117,0
118,0
119,1
120,1
121,1
122,1
123,1
124,1
125,0
126,1
127,0
128,0
129,1
130,0
131,0
132,0
133,1
134,1
135,1
136,0
137,0
138,0
139,1
140,1
141,1
142,0
143,1
144,0
145,0
146,1
147,0
148,1
149,0
150,1
151,1
152,1
153,0
154,0
155,1
156,0
157,0
158,0
159,0
160,0
161,1
162,1
163,0
164,1
165,0
166,0
167,0
168,1
169,1
170,0
171,0
172,1
173,1
174,0
175,1
176,0
177,0
178,0
179,1
180,0
181,1
182,1
183,0
184,0
185,0
186,0
187,1
188,0
189,1
190,0
191,1
192,1
193,1
194,1
195,0
196,0
197,0
198,1
199,0
200,1
201,1
202,1
203,0
204,0
205,0
206,0
207,0
208,1
209,1
210,0
211,0
212,1
213,1
214,1
215,0
216,0
217,1
218,1
219,0
220,1
221,0
222,1
223,0
224,0
225,1
226,0
227,0
228,1
229,0
230,1
231,0
232,0
233,0
234,1
235,1
236,1
237,0
238,0
239,1
240,1
241,1
242,1
243,0
244,0
245,1
246,1
247,1
248,0
249,1
250,1
251,1
252,1
253,0
254,0
255,1
256,1
257,0
258,1
259,1
260,0
261,1
262,0
263,1
264,1
265,1
266,0
267,1
268,1
269,1
270,1
271,1
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,1
280,1
281,1
282,1
283,0
284,0
285,1
286,1
287,0
288,1
289,0
290,1
291,0
292,0
293,1
294,0
295,1
296,1
297,1
298,1
299,0
300,0
301,1
302,1
303,0
304,1
305,1
306,1
307,1
308,1
309,0
310,1
311,0
312,0
313,0
314,1
315,1
316,1
317,0
318,1
319,0
320,0
321,1
322,1
323,1
324,1
325,0
326,0
327,0
328,1
329,0
330,1
331,1
332,1
333,0
334,0
335,0
336,0
337,0
338,1
339,0
340,0
341,0
342,1
343,1
344,1
345,1
346,1
347,1
348,0
349,0
350,0
351,0
352,0
353,1
354,1
355,0
356,1
357,1
358,1
359,0
360,1
361,1
362,0
363,0
364,1
365,1
366,0
367,1
368,1
369,1
370,1
371,0
372,0
373,0
374,0
375,1
376,1
377,0
378,0
379,1
380,0
381,1
382,0
383,1
384,0
385,0
386,1
387,1
388,1
389,1
390,0
391,0
392,0
393,0
394,0
395,1
396,0
397,1
398,0
399,1
400,1
401,1
402,0
403,1
404,0
405,0
406,0
407,0
408,0
409,0
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,0
418,0
419,0
420,0
421,1
422,0
423,1
424,0
425,1
426,0
427,1
428,1
429,0
430,0
431,1
432,1
433,1
434,1
435,0
436,1
437,1
438,0
439,0
440,0
441,1
442,1
443,0
444,1
445,1
446,1
447,0
448,1
449,1
450,0
451,1
452,1
453,0
454,0
455,0
456,0
457,0
458,0
459,1
460,0
461,0
462,1
463,1
464,1
465,1
466,1
467,0
468,1
469,1
470,1
471,0
472,0
473,1
474,1
475,0
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,0
487,0
488,0
489,0
490,1
491,0
492,1
493,0
494,0
495,0
496,0
497,1
498,0
499,0
500,1
501,0
502,0
503,1
504,1
505,0
506,1
507,1
508,0
509,1
510,0
511,1
512,0
513,1
514,0
515,1
516,0
517,1
518,1
519,1
520,1
521,1
522,1
523,0
524,0
525,1
526,1
527,1
528,0
529,0
530,0
531,1
532,0
533,1
534,0
535,0
536,1
537,0
538,1
539,0
540,1
541,0
542,1
543,1
544,1
545,1
546,0
547,1
548,1
549,1
550,1
551,1
552,0
553,0
554,1
555,1
556,1
557,0
558,1
559,0
560,1
561,1
562,0
563,0
564,0
565,1
566,1
567,1
568,0
569,1
570,1
571,1
572,1
573,0
574,0
575,1
576,1
577,1
578,1
579,0
580,1
581,0
582,1
583,0
584,0
585,1
586,1
587,0
588,1
589,1
590,0
591,0
592,1
593,1
594,0
595,1
596,0
597,1
598,0
599,0
600,1
601,1
602,1
603,0
604,0
605,1
606,0
607,1
608,0
609,1
610,1
611,0
612,0
613,0
614,1
615,1
616,0
617,1
618,0
619,0
620,0
621,0
622,0
623,1
624,0
625,1
626,0
627,0
628,1
629,1
630,1
631,1
632,1
633,0
634,1
635,1
636,1
637,0
638,1
639,1
640,1
641,0
642,0
643,0
644,0
645,1
646,0
647,0
648,1
649,1
650,0
651,0
652,0
653,0
654,1
655,0
656,1
657,1
658,0
659,1
660,1
661,1
662,0
663,0
664,1
665,0
666,1
667,0
668,0
669,1
670,0
671,0
672,1
673,1
674,1
675,0
676,0
677,0
678,1
679,0
680,0
681,0
682,1
683,1
684,1
685,0
686,1
687,0
688,1
689,1
690,0
691,1
692,0
693,1
694,0
695,0
696,1
697,1
698,0
699,0
700,0
701,0
702,1
703,1
704,0
705,1
706,0
707,1
708,0
709,1
710,1
711,1
712,0
713,1
714,0
715,0
716,1
717,1
718,1
719,1
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,1
734,0
735,0
736,1
737,1
738,0
739,1
740,0
741,1
742,1
743,1
744,0
745,1
746,1
747,0
748,1
749,1
750,1
751,1
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,1
761,0
762,0
763,1
764,0
765,0
766,1
767,1
768,1
769,0
770,1
771,1
772,1
773,0
774,1
775,0
776,0
777,0
778,0
779,0
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,1
789,0
790,1
791,0
792,0
793,0
794,1
795,0
796,1
797,1
798,1
799,0
800,1
801,0
802,0
803,0
804,1
805,1
806,1
807,1
808,0
809,1
810,0
811,0
812,0
813,1
814,1
815,1
816,1
817,1
818,0
819,0
820,0
821,0
822,1
823,1
824,1
825,1
826,0
827,1
828,0
829,1
830,1
831,0
832,1
833,1
834,1
835,1
836,0
837,1
838,1
839,0
840,0
841,1
842,1
843,0
844,1
845,1
846,1
847,1
848,1
849,1
850,1
851,1
852,0
853,1
854,0
855,1
856,1
857,1
858,0
859,1
860,1
861,1
862,1
863,0
864,1
865,0
866,1
867,1
868,0
869,0
870,0
871,0
872,0
873,1
874,1
875,1
876,0
877,1
878,0
879,1
880,0
881,1
882,1
883,0
884,0
885,0
886,1
887,0
888,1
889,0
890,0
891,1
892,0
893,1
894,0
895,1
896,1
897,1
898,1
899,1
900,1
901,0
902,1
903,0
904,1
905,1
906,1
907,0
908,0
909,1
910,0
911,0
912,1
913,0
914,0
915,1
916,1
917,1
918,1
919,0
920,0
921,1
922,0
923,1
924,1
925,0
926,0
927,1
928,0
929,0
930,0
931,1
932,1
933,0
934,1
935,1
936,1
937,1
938,1
939,0
940,0
941,0
942,1
943,1
944,0
945,0
946,0
947,0
948,1
949,1
950,0
951,1
952,1
953,0
954,0
955,0
956,0
957,1
958,0
959,1
960,0
961,1
962,1
963,0
964,0
965,1
966,0
967,1
968,1
969,0
970,1
971,0
972,0
973,0
974,1
975,0
976,0
977,1
978,0
979,1
980,0
981,1
982,0
983,0
984,0
985,0
986,0
987,1
988,1
989,1
990,1
991,0
992,1
993,0
994,1
995,0
996,1
997,0
998,0
999,1
1000,1
1001,0
1002,0
1003,1
1004,1
1005,0
1006,1
1007,1
1008,0
1009,0
1010,1
1011,1
1012,1
1013,1
1014,0
1015,1
1016,1
1017,0
1018,0
1019,1
1020,1
1021,1
1022,0
1023,0
1024,1
1025,0
1026,1
1027,1
1028,1
1029,1
1030,0
1031,0
1032,0
1033,1
1034,1
1035,0
1036,0
1037,1
1038,1
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,1
1047,1
1048,0
1049,0
1050,0
1051,1
1052,1
1053,0
1054,1
1055,1
1056,1
1057,0
1058,0
1059,0
1060,0
